2025-05-23 16:56:59.944 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2025.6.1-linux-x64/python-env-tools/bin/pet server
2025-05-23 16:56:59.944 [info] Discovered env: /bin/python2
2025-05-23 16:56:59.944 [info] Discovered env: /usr/bin/python2
2025-05-23 16:56:59.944 [info] Discovered env: /bin/python3
2025-05-23 16:56:59.944 [info] Discovered env: /usr/bin/python3
2025-05-23 16:56:59.945 [info] Locator Conda took 280.743422ms
2025-05-23 16:56:59.945 [info] Locator Homebrew took 69.855µs
2025-05-23 16:56:59.945 [info] Locator LinuxGlobal took 578.353303ms
2025-05-23 16:56:59.945 [info] Locator PipEnv took 18.222µs
2025-05-23 16:56:59.945 [info] Locator Pixi took 88.279µs
2025-05-23 16:56:59.945 [info] Locator Poetry took 6.72401ms
2025-05-23 16:56:59.945 [info] Locator PyEnv took 9.452222ms
2025-05-23 16:56:59.945 [info] Locator Venv took 28.287µs
2025-05-23 16:56:59.945 [info] Locator VirtualEnv took 36.162µs
2025-05-23 16:56:59.945 [info] Locator VirtualEnvWrapper took 21.993µs
2025-05-23 16:56:59.945 [info] Locator GlobalVirtualEnvs took 219.246µs
2025-05-23 16:56:59.945 [info] Locator Locators took 581.675779ms
2025-05-23 16:56:59.945 [info] Locator Path took 786.638362ms
2025-05-23 16:56:59.945 [info] Locator Workspaces took 190.635356ms
2025-05-23 16:56:59.945 [info] Refresh completed in 787ms
2025-05-23 16:57:00.433 [info] Resolved Python Environment /bin/python3
2025-05-23 17:05:44.810 [info] Resolved Python Environment /root/venv/bin/python
2025-05-23 17:05:44.824 [info] Resolved Python Environment /bin/python3
2025-05-23 17:05:46.981 [info] Resolved Python Environment /root/venv/bin/python
2025-05-23 17:07:02.045 [info] Resolved Python Environment /root/venv/bin/python
2025-05-23 17:26:16.026 [info] Resolved Python Environment /root/venv/bin/python
