2025-05-24 00:42:29.080 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2025.6.1-linux-x64/python-env-tools/bin/pet server
2025-05-24 00:42:30.183 [info] Discovered env: /root/venv/bin/python
2025-05-24 00:42:30.188 [info] Discovered env: /bin/python2
2025-05-24 00:42:30.189 [info] Discovered env: /usr/bin/python2
2025-05-24 00:42:30.189 [info] Discovered env: /usr/bin/python3
2025-05-24 00:42:30.189 [info] Discovered env: /bin/python3
2025-05-24 00:42:30.190 [info] Locator Conda took 406.736816ms
2025-05-24 00:42:30.190 [info] Locator Homebrew took 3.164343ms
2025-05-24 00:42:30.190 [info] Locator LinuxGlobal took 402.316222ms
2025-05-24 00:42:30.190 [info] Locator PipEnv took 28.271µs
2025-05-24 00:42:30.190 [info] Locator Pixi took 5.120621ms
2025-05-24 00:42:30.190 [info] Locator Poetry took 3.996661ms
2025-05-24 00:42:30.190 [info] Locator PyEnv took 5.244422ms
2025-05-24 00:42:30.190 [info] Locator Venv took 59.278µs
2025-05-24 00:42:30.191 [info] Locator VirtualEnv took 1.312383ms
2025-05-24 00:42:30.191 [info] Locator VirtualEnvWrapper took 5.291611ms
2025-05-24 00:42:30.191 [info] Locator GlobalVirtualEnvs took 5.132057ms
2025-05-24 00:42:30.191 [info] Locator Locators took 409.314834ms
2025-05-24 00:42:30.191 [info] Locator Path took 610.488701ms
2025-05-24 00:42:30.191 [info] Locator Workspaces took 296.029924ms
2025-05-24 00:42:30.191 [info] Refresh completed in 610ms
2025-05-24 00:42:30.193 [info] Resolved Python Environment /root/venv/bin/python
