2025-05-30 20:36:05.922 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2025.6.1-linux-x64/python-env-tools/bin/pet server
2025-05-30 20:36:07.325 [info] Discovered env: /root/venv/bin/python
2025-05-30 20:36:08.427 [info] Discovered env: /usr/bin/python2
2025-05-30 20:36:08.522 [info] Discovered env: /bin/python2
2025-05-30 20:36:08.523 [info] Discovered env: /usr/bin/python3
2025-05-30 20:36:08.623 [info] Discovered env: /bin/python3
2025-05-30 20:36:08.624 [info] Locator Conda took 483.529023ms
2025-05-30 20:36:08.624 [info] Locator Homebrew took 492.697µs
2025-05-30 20:36:08.625 [info] Locator LinuxGlobal took 511.526863ms
2025-05-30 20:36:08.625 [info] Locator PipEnv took 14.823µs
2025-05-30 20:36:08.625 [info] Locator Pixi took 20.599µs
2025-05-30 20:36:08.625 [info] Locator Poetry took 1.053857ms
2025-05-30 20:36:08.625 [info] Locator PyEnv took 76.983025ms
2025-05-30 20:36:08.625 [info] Locator Venv took 58.116µs
2025-05-30 20:36:08.625 [info] Locator VirtualEnv took 14.458µs
2025-05-30 20:36:08.625 [info] Locator VirtualEnvWrapper took 25.529µs
2025-05-30 20:36:08.625 [info] Locator GlobalVirtualEnvs took 127.309µs
2025-05-30 20:36:08.625 [info] Locator Locators took 590.375442ms
2025-05-30 20:36:08.625 [info] Locator Path took 702.021423ms
2025-05-30 20:36:08.626 [info] Locator Workspaces took 499.658153ms
2025-05-30 20:36:08.626 [info] Refresh completed in 786ms
2025-05-30 20:36:08.628 [info] Resolved Python Environment /root/venv/bin/python
