상품 ID,브랜드,성별,카테고리1,카테고리2,원산지,실패 사유
AB01XPS2530X001,COSTARELLOS,D,AB,DRESS,MADE IN POLAND,"치환 실패 - 브랜드: COSTARELLOS, 카테고리: D/AB/DRESS, 원산지: "
AB01XA0401XX007,ALBERTA FERRETTI,D,AB,DRESS,,"치환 실패 - 브랜드: ALBERTA FERRETTI, 카테고리: D/AB/DRESS, 원산지: "
AB04XALOES-P001,PIERRE LOUIS MASCIA,D,AB,SHIRT,,"치환 실패 - 브랜드: PIERRE LOUIS MASCIA, 카테고리: D/AB/SHIRT, 원산지: "
AB01XPS2530X001,COSTARELLOS,D,AB,DRESS,MADE IN POLAND,"치환 실패 - 브랜드: COSTARELLOS, 카테고리: D/AB/DRESS, 원산지: "
AB01XA0401XX007,ALBERTA FERRETTI,D,AB,DRESS,,"치환 실패 - 브랜드: ALBERTA FERRETTI, 카테고리: D/AB/DRESS, 원산지: "
AB04XALOES-P001,PIERRE LOUIS MASCIA,D,AB,SHIRT,,"치환 실패 - 브랜드: PIERRE LOUIS MASCIA, 카테고리: D/AB/SHIRT, 원산지: "
AB01XPS2530X001,COSTARELLOS,D,AB,DRESS,MADE IN POLAND,"치환 실패 - 브랜드: COSTARELLOS, 카테고리: D/AB/DRESS, 원산지: "
AB01XA0401XX007,ALBERTA FERRETTI,D,AB,DRESS,,"치환 실패 - 브랜드: ALBERTA FERRETTI, 카테고리: D/AB/DRESS, 원산지: "
AB04XALOES-P001,PIERRE LOUIS MASCIA,D,AB,SHIRT,,"치환 실패 - 브랜드: PIERRE LOUIS MASCIA, 카테고리: D/AB/SHIRT, 원산지: "
AB01XPS2530X001,COSTARELLOS,D,AB,DRESS,MADE IN POLAND,"치환 실패 - 브랜드: COSTARELLOS, 카테고리: D/AB/DRESS, 원산지: "
AB01XA0401XX007,ALBERTA FERRETTI,D,AB,DRESS,,"치환 실패 - 브랜드: ALBERTA FERRETTI, 카테고리: D/AB/DRESS, 원산지: "
